,loss,test_loss,acc,test_acc
30,1.0016349342422208,0.9975455155695118,0.900641751604379,0.9044922612306531
31,1.0025169824920415,0.9981254893512541,0.8995847489618725,0.9044167610419026
32,1.0010868004266766,1.0001666934593865,0.9014722536806342,0.9024537561343904
33,1.0010968661250699,0.9979526574772913,0.9013212533031333,0.904643261608154
34,1.000316645068247,0.9966493136640908,0.9020762551906379,0.9053227633069083
35,0.9997847646042921,0.9979992212304747,0.9024537561343904,0.9047187617969045
36,1.0006304322809414,0.9973682006776045,0.9016232540581351,0.9042657606644017
37,1.0013430217901866,0.9983757192961835,0.9009437523593808,0.9035862589656474
38,1.0002405342560459,0.9965409092281176,0.9017742544356361,0.9056247640619102
39,0.9995738241983496,0.999974824236211,0.9026802567006418,0.9025292563231408
40,0.9992440560301721,0.9983083519382753,0.9028312570781427,0.9034352585881464
41,0.998914750157923,0.9972014276013859,0.9034352585881464,0.9051717629294074
42,0.9991581370865089,0.9984301750498693,0.9024537561343904,0.9032842582106455
43,0.9987199205707237,0.9966120774619245,0.903359758399396,0.9060022650056625
44,0.998703257329222,0.9962193785946151,0.903359758399396,0.9051717629294074
45,0.9993092646633369,1.0023593387166083,0.9026802567006418,0.9005662514156285
46,0.9988259576656968,0.996704084429764,0.9035107587768969,0.9051717629294074
47,0.9981429460255996,0.9996527377246083,0.9038127595318989,0.9016987542468856
48,0.9996812751039791,0.995329724561765,0.9020762551906379,0.9063797659494148
49,0.9985464943779839,0.995170542727346,0.9028312570781427,0.9063042657606644
50,0.9979095363962478,0.9962525911953138,0.9037372593431483,0.9057002642506606
51,0.9980091456917749,0.9980457001838131,0.9039637599093998,0.9041147602869007
52,0.9971720334412395,0.9956546516522117,0.9044167610419026,0.9056247640619102
53,0.9995852098372824,0.9984444038591523,0.9026047565118913,0.9041147602869007
54,0.997470057816897,0.9947476256008886,0.9041902604756512,0.9070592676481691
55,0.9973120775775633,0.9949278740779214,0.9044922612306531,0.9061532653831634
56,0.9979362348139574,0.996511930860759,0.9040392600981503,0.9050962627406568
57,0.9975588169074865,0.99513372246194,0.9045677614194035,0.9065307663269159
58,0.9982790879293341,0.9952161215641648,0.9035862589656474,0.9062287655719139
